"text;product"
"Pessoal, pelo AMOR DE DEUS desenvolvam um aplicativo. Pensem no trabalhador que não tem tempo de acessar o computador e faz tudo pelo celular no trajeto pro trampo/brechas de tempo livre, ou ainda usuário de celular que pode estar sem dados.;App"
"Fiz o curso de Digital Product Management na Tera e recomendo fortemente. São muitas (muitas mesmo) horas de conteúdo assíncrono produzido em um formato dinâmico, o que facilita muito o aproveitamento, por experts que são, de fato, experts.;Product Management"
"As pessoas acham que aulas remotas são frias, mas não na TERA. Aqui a gente faz amigos e sai com o coração quentinho a cada final de aula. A dinâmica das aulas virtuais é sensacional. Melhor do que a axperiência de cursos presenciais que já tive.;Product Management"
"fiz o curso de product design e foi simplesmente incrível! rolou muito aprendizado e trocas legais com mais de 80 experts. tivemos todo um acolhimento desde o começo do curso, todos os facilitadores e mentores foram incríveis com a turma, nos ajudando e guiando para chegar na solução de um case. fizemos tudo do zero e pude prestigiar projetos muito legais dos colegas! para quem está em transição de carreira, assim como eu, vai ficar muito satisfeito e realizado com as propostas do curso!;UX Design"
"Achei que o curso valeu a pena! Exigiu um bom comprometimento de tempo para acompanhar todo o material, mas deu uma base teórica sólida, com várias boas referências para aprofundamento, ao mesmo tempo que me fez sentir preparada para o dia-a-dia da área de Projeto. Os professores e os mentores foram muito bons; o pessoal da Tera também. Todos muito disponíveis e solícitos! Você se sente incluído em uma comunidade!;Product Management"
"Fiz o curso ""Digital Product Leadership"" online e gostei muito, a Tera é muito profissional e seus cursos são muito completos, mentores reconhecidos no mercado e com grandes conhecimentos e didática para passar isso para os alunos.;Product Management"
"Quando o produto é bom dá gosto de indicar! Obrigado equipe da Tera, foi um prazer aprender com vocês. Didática do curso muito bacana, bastante informação valiosa e de fácil aplicação. Desde a primeira aula é possível aplicar as técnicas e já colher resultados.;Product Management"
"Fiz o curso de UX design e indico demais. Você participa do processo completo desde o zero até a criação de um protótipo de alta fidelidade, as aulas gravadas e ao vivo são ótimas, o sistema de aulas gravadas é muito bom. Só se prepara pq é puxado.;UX Design"
"Curso de primeira qualidade, muita atenção e assistência ao aluno, todo mundo educado, bem-humorado, prestativo, alto astral, conteúdo de primeira, do superficial ao profundo, bem interativo, vídeos, textos, aulas ao vivo, com monitores treinados e tudo bem explicadinho, mastigado.;Product Management"
"Digital Product Leadership Recomendo demais, conteúdo massa, mentores super preparados e sem duvidas metodologia diferenciada. Você que quer aprender ou aprimorar suas habilidades na area de produtos, se joga de cabeça.;Product Management"
"Experiência incrível a de fazer o Bootcamp de Desenvolvimento Full Stack na Tera. Saí de alguém com 0 contato com programação para uma pessoa desenvolvedora com muita vontade de aprender ainda mais. Conheci pessoas incríveis, e não fossem elas eu não teria terminado o curso.;Data Analytics"
"O Curso DIGITAL PRODUCT LEADERSHIP da Tera mudou minha forma de entender, ver e fazer Produto; e me ajudou a dar uma guinada na carreira. Conteúdo assíncrono riquíssimo e aulas online que proporcionam inúmeras trocas tanto com os colegas, como com mentores e experts. Super recomendo!;Product Management"
"Aparentemente hoje em dia a empresa trabalha apenas no sistema online, porém, mesmo já sendo permitido voltar com as aulas presenciais, eles seguem no remoto e exigem que o aluno esteja online e presente 100% do tempo, sendo que quem escolhe essa modalidade é ou quem mora longe da sede, ou quem não tem horários fixos. Mas na Tera n é assim, você paga o mesmo preço do presencial e ainda é obrigado a assistir sempre no ao vivo e nunca no gravado, pois eles falam que você irá prejudicar todo o seu grupo de 5 pessoas. Tratam os clientes que nem criança.;Product Management"
"O curso de UX da Tera é incrível! A plataforma, os professores e facilitadores foram essenciais para conseguir concluir mais essa etapa na minha carreira. Além da Tera ter um programa para mulheres na tecnologia que, definitivamente, me ajudou demais!;UX Design"
"Experiência muito completa de aprendizado, aulas ao vivo com participação de profissionais que trazem o dia a dia para os alunos. Além do conteúdo, a Tera proporciona a conexão com profissionais do mercado.;Product Management"
"Fiz o curso Full-Stack Dev e foi sensacional. O curso entrega todo o conteúdo prometido, com extrema qualidade nas aulas e material, além do suporte quase que imediato para todas as questões trazidas;Data Analytics"
"NAO aconselho a Tera para quem quer aprender mesmo. O portal LXS tem conteúdos superficiais,quando tem. Exemplo : promise e tipo de funções no JavaScript, cadê?. Nao existe tambm materiais de apoio, nem PDFs, estou tendo que buscar TUDO no YouTube e cursos gratuitos. As aulas ao vivo não são bem planejadas e os exemplos que os experts usam são abstratos, não há metodologia de ensino. Nao há exercícios práticos e, do nada, te mandam fazer uma página com CSS.;Data Analytics"
"Fiz o bootcamp de Data Science e Machine Learning. Tive uma excelente experiência de aprendizado! Gostei bastante do sistema de ensino e da estrutura do curso. As aulas são com profissionais do mercado, o que faz toda a diferença!;Data Analytics"
"O curso da TERA é indispensável pra quem está iniciando sua carreira em UX. É suado, é cansativo, mas no final eu senti que subi um degrau e deu até vontade de me inscrever em outro curso.;UX Design"
"Propaganda enganosa! Pela minha empresa tenho um desconto de 30% no curso de PM, foi me oferecido por email o TeraPass por um adicional de R$500,00, porém ao fechar, não foi informado que pra eu contratar com esse adicional de 500,00, não poderia usar o desconto da minha empresa no curso de PM, teria que pagar o valor cheio. Pregam tanto o UX, que não sabem ao menos montar um e-mail de comunicação.;Product Management"
"Para quem busca transição de carreira, a Tera é a melhor opção. Instrutores fantásticos e uma metodologia muito empolgante. Ao fim do curso vc já sai com um projeto para seu portfolio!;Product Management"
"Realizei curso na Tera para a formação em gestão de produtos digitais. Experiência incrível e super recomendo. A qualidade das aulas, experiência dos experts, mentores, enfim... só elogios;Product Management"
"Se for fazer tenha certeza que é o curso que você deseja, cobram uma multa absurda para cancelar (para aqueles que fazem via provi/financiamento) não existe possibilidade de troca de curso sem pagar essa multa. Demoram a te responder no e-mail via suporte.;Product Management"
"(curso digital product design) conteúdo do curso e toda a equipe são demais, aprendi muita coisa legal e tive contato com gente incrível. faria de novo;UX Design"
"Amei demais a plataforma e abordagem dos professores. Porém, não recebi meus certificados até agora, e não consigo contato com nenhum atendente :(;Product Management"
"NÃO RECEBI O REEMBOLSO! Venho aqui contar o total descaso por parte da empresa TERA, contratei um curso, porém tive que cancelar dentro do prazo estipulado no contrato, para ser feito o reembolso. Não tive o reembolso nem eu e meu esposo Caio, já faz 2 dias que entro em contato pelo próprio email, mais não tenho retorno.;Product Management"
"Aprender UX pela Tera foi uma experiência incrível. Equipe de profissionais competentes e engajados, com habilidades e formas de ensino extremamente proveitosas.;UX Design"
"Gostei muito de ter participado do curso Digital Product Design. Foi o melhor curso de design que fiz e realmente valeu o investimento. Valeu pessoal da Tera! ;D;UX Design"
"O melhor curso de Design de Produto do Brasil, aprendi muito nesses últimos meses, os experts também são incríveis e tiram todas as dúvidas. Amei muito e super recomendo!;UX Design"
"O melhor curso de UX Design que eu poderia ter feito! Profissionais capacitados, aulas dinâmicas e envolventes, ótimo networking e pessoas incríveis demais!;UX Design"
"É como vários videocast gravados, sem aprofundamento, fragmentado, com pouquíssima aplicação prática. Não da pra considerar uma ""formação"". É mais um golpe de EduTechs, como tem muitas por ai...;Product Management"
"A plataforma é excelente. Bons materiais, vídeos bem elaborados e fluídos. O destaque maior, na minha opinião, são os experts e mentores, pessoas bem posicionadas no mercado que fazem a diferença na nossa tragetória.;Product Management"
"Curso de programação intenso, puxado e completo. É desafiador pelo conteúdo técnico em si e o processo é fica muito mais humanizado com os experts e facilitadores que estão sempre dispostos a ajudar.;Data Analytics"
"Gostei muito do curso e da metodologia, me ajudou bastante em minha carreira. Mas um ponto de insatisfação, é perder o conteúdo e os videos do curso depois de 1 ano. São cursos relativamente com preços elevados, o conteúdo comprado não deveria ter este prazo de validade, não acho justo.;Product Management"
"A PM3 é uma escola excelente no universo de produtos. Os professores são muito didáticos, todos os cursos possuem muitos exemplos de empresas brasileiras. Além da comunidade de alunos que é realmente um ambiente riquíssimo de muita troca e aprendizados. Vale 100% a pena o investimento!;Product Management"
"Excelente no que se propõe. Possui bastante qualidade e profundidade nos conteúdos apresentados, dando um bom embasamento e referências para aprofundamento. Fiz dois cursos na PM3 e certamente faria um terceiro.;Product Management"
"Melhor curso para quem quer se aprofundar nos conhecimentos do mundo de Product Management. Os instrutores são incríveis, e as aulas contemplam do básico ao avançado, falando até sobre a rotina de um PM. Ansiosa para fazer os próximos cursos!;Product Management"
"A PM3 pra mim tem o peso de uma graduação. Eu sou fã da PM3 pois tem um equilíbrio muito legal entre formação assíncrona com um conteúdo aprofundado com uma conexão humana pessoal com a comunidade de alunos.;Product Management"
"Melhor curso de Product Manager do BR. Conteúdo completíssimo, ótimos professores que ensinam baseados em cases reais. Bem pé no chão, bem estruturado.;Product Management"
"Os cursos são ótimos, conteúdo atualizado e relevante. As aulas são claras, didáticas e com cases reais e aplicáveis ao cotidiano. O atendimento também é excelente, com retorno rápido e empatia :-);Product Management"
